,Nodes,Edges,NetX,iGraph,(fast) pagerank,(fast) pagerank_power
0,141,3475,0.008166644599987194,0.0005393833998823538,0.001923274799992214,0.0008487579998472938
1,168,8709,0.02061874179998995,0.001263308800116647,0.0025403539999388157,0.0009763966001628433
2,159,11571,0.024342377999710153,0.001637655600279686,0.002263059799952316,0.0009244974000466755
3,181,13687,0.026383261199953267,0.0017205113999807509,0.00227844519977225,0.0008754700000281445
4,240,17255,0.031868164199840975,0.002163082999686594,0.006060086799698184,0.0017652210000960622
5,429,27151,0.046970986599990286,0.0033266469999944093,0.018866742799946223,0.0021578479998424884
6,338,32353,0.06224141400016379,0.0041584220001823265,0.01220787959973677,0.002291029399930267
7,349,49752,0.09142814940023528,0.006546097799946438,0.020979485399948317,0.0025679624002805214
8,593,50826,0.09483925239983364,0.004848238799968385,0.05345581799992942,0.0031279263999749673
9,369,67840,0.12961591919993226,0.009707245200115722,0.015577730199947838,0.0031539700001303574
10,532,75687,0.1530198639997252,0.007637124399843742,0.03688195280010405,0.003721603799931472
11,664,120154,0.2307222195999202,0.012611312000080943,0.06429339780006557,0.00468862679990707
12,905,127398,0.2439697570000135,0.01503923720010789,0.18404254919987578,0.005805772800158593
13,603,130738,0.2645366369997646,0.013169779599775212,0.04542644119974284,0.0043661710002197655
14,838,132426,0.24866804060002323,0.02065851199986355,0.16391876720008441,0.004816149000180303
15,751,137461,0.2672470097997575,0.013926507399810361,0.07696938160006539,0.004699952200098778
16,841,145601,0.2755418216001999,0.013754163400153629,0.09957616120009334,0.004972664399974747
17,924,152257,0.29660254959999294,0.015513239800202427,0.13736108200027958,0.005364920400097617
18,607,156039,0.29547482460002356,0.014830090200121049,0.05339154539979063,0.005314339999677032
19,773,164815,0.32001131780016295,0.014406516600138275,0.0788002826000593,0.005080214000190608
20,615,170985,0.3244145646000106,0.014716070600115927,0.048411072599992624,0.005088724799861666
21,606,173639,0.32928235239996867,0.017195831799836015,0.04715741020008864,0.005870561999836354
22,888,179415,0.34920213260011224,0.0173020459998952,0.12283760780010197,0.0065560335999180095
23,673,199501,0.3556916892001027,0.019994943799974862,0.07558491979980317,0.005576652400122839
24,706,206913,0.40533083920017815,0.020132742400164716,0.06851384199981111,0.005883353000172065
25,869,228061,0.46630313440000465,0.020160467999812682,0.16198742439992203,0.008556280599805177
26,923,232844,0.4649535673997889,0.025321618799716818,0.17083482080015527,0.00898086080014764
27,858,247544,0.4988815822001925,0.028198224399966422,0.13081427379984234,0.007991679400220164
28,1681,282626,0.5306770758001221,0.02740955040026165,0.6959055581999565,0.00894024180015549
29,1406,310850,0.5502587904000393,0.02890649159999157,0.42825135339990084,0.009485064600085025
30,1176,368369,0.7152570742000535,0.04465734219993465,0.3964671511999768,0.017333889599831308
31,956,372646,0.7379785296001501,0.03160216059986851,0.1360789348000253,0.009442282400050317
32,1722,391689,0.7639510918001179,0.04762516979972133,0.8494819506002387,0.01566882200022519
33,1291,397622,0.7043701610000426,0.03476807919978455,0.311621042600018,0.009304101199813886
34,1042,419973,0.7680821202000516,0.043817626199961525,0.1847741262001364,0.01150702920022013
35,1083,420160,1.0065656359998685,0.15850516719983715,1.3520937737997882,0.011576370599868824
36,1260,498237,1.0117721697999513,0.05973924639984034,0.36807618900020317,0.01177854000015941
37,1060,510199,1.1400682299998153,0.05922894200011797,0.2372795806000795,0.019025171799876263
38,1635,579105,1.1378187198002707,0.06141437899968878,0.7679777167999419,0.013246002799860435
39,1089,584362,1.0377874920002796,0.0742356677998032,0.25415918660000897,0.012440779999815276
40,1784,628763,1.4279455894000421,0.05864871819976543,0.877096690200051,0.015091036800004076
41,1572,672553,1.295138519000102,0.0565384752000682,0.6386196375999134,0.01533841240016045
42,1454,825369,1.5079265447999206,0.1072274533999007,0.4050083215999621,0.014614933999837376
43,1413,842877,1.62458134160006,0.11146877199971642,0.4442213708000054,0.015861824799867464
44,1840,855672,1.6238432649999595,0.07528714059990307,0.8384862122002232,0.01681685839976126
45,1614,892921,1.7100645575999807,0.1338276161997783,0.6271059907998279,0.015474164999977802
46,1933,956007,2.5071470097998825,0.11985745080019114,1.1352229164000165,0.016589627000212204
47,1641,1195768,2.1963524266000602,0.17202204519999215,0.535405312399962,0.019178111200017157
48,1736,1412119,2.638823578800293,0.1923734545998741,0.674814895000236,0.02113726819989097
49,1989,1581139,3.2745508566000354,0.2565374919999158,1.4059504808003112,0.020392478199937614
